Map Width,Red Team Size,Blue Team Size,Training Duration,Learning Factor,Learning Rate,Blue Alpha,NN Structure,Combat Model,Training Time,Win Rate,Pct Agents Remaining,Pct Strength Remaining
15,2,5,250,0.995,0.01,0.75,"(96,96)",Deterministic,,,,
15,2,5,250,0.995,0.0001,0.25,"(96,96)",Deterministic,,,,
10,5,5,50,0.995,0.0001,0.25,"(96,96)",Stochastic,,,,
10,5,5,250,0.965,0.0001,0.25,"(96,96)",Stochastic,,,,
15,5,2,50,0.965,0.01,0.75,"(96,96)",Deterministic,,,,
15,2,2,50,0.995,0.01,0.75,"(96,96)",Stochastic,,,,
10,5,2,250,0.965,0.01,0.75,"(96,96)",Deterministic,,,,
15,2,2,250,0.965,0.01,0.25,"(96,96)",Deterministic,,,,
15,2,5,50,0.995,0.0001,0.75,"(96,96)",Deterministic,,,,
15,5,2,250,0.965,0.01,0.25,"(32,)",Deterministic,,,,
10,2,5,250,0.965,0.01,0.25,"(96,96)",Stochastic,,,,
15,5,5,50,0.965,0.0001,0.25,"(96,96)",Stochastic,,,,
15,5,5,50,0.995,0.0001,0.25,"(32,)",Deterministic,,,,
10,5,2,250,0.995,0.01,0.25,"(96,96)",Deterministic,,,,
15,2,2,250,0.995,0.0001,0.75,"(32,)",Deterministic,,,,
15,5,2,50,0.965,0.0001,0.75,"(96,96)",Stochastic,,,,
10,5,2,50,0.965,0.01,0.25,"(96,96)",Stochastic,,,,
10,5,5,50,0.965,0.01,0.25,"(32,)",Deterministic,,,,
15,5,2,250,0.995,0.01,0.25,"(96,96)",Stochastic,,,,
15,2,2,50,0.965,0.0001,0.25,"(32,)",Deterministic,,,,
10,5,5,50,0.965,0.01,0.75,"(96,96)",Stochastic,,,,
15,5,2,50,0.995,0.0001,0.25,"(96,96)",Deterministic,,,,
10,5,5,250,0.995,0.01,0.75,"(32,)",Deterministic,,,,
10,2,5,50,0.965,0.0001,0.25,"(96,96)",Deterministic,,,,
15,2,5,250,0.965,0.0001,0.75,"(96,96)",Stochastic,,,,
15,2,5,250,0.995,0.01,0.25,"(32,)",Stochastic,,,,
15,2,5,50,0.965,0.01,0.75,"(32,)",Deterministic,,,,
10,2,2,250,0.995,0.0001,0.25,"(96,96)",Stochastic,,,,
10,2,2,50,0.965,0.0001,0.75,"(96,96)",Deterministic,,,,
10,5,2,50,0.995,0.01,0.75,"(96,96)",Stochastic,,,,
15,5,5,250,0.965,0.01,0.75,"(32,)",Stochastic,,,,
15,5,5,250,0.965,0.0001,0.75,"(32,)",Deterministic,,,,
10,2,2,250,0.965,0.0001,0.25,"(32,)",Deterministic,,,,
10,2,5,250,0.995,0.0001,0.75,"(32,)",Deterministic,,,,
15,5,5,250,0.965,0.01,0.25,"(96,96)",Deterministic,,,,
15,5,5,250,0.995,0.0001,0.75,"(32,)",Stochastic,,,,
15,2,5,50,0.995,0.01,0.25,"(96,96)",Deterministic,,,,
10,2,5,50,0.995,0.01,0.75,"(32,)",Stochastic,,,,
10,5,2,50,0.965,0.0001,0.75,"(32,)",Deterministic,,,,
10,2,5,50,0.965,0.0001,0.25,"(32,)",Stochastic,,,,
10,5,2,250,0.995,0.0001,0.75,"(96,96)",Deterministic,,,,
10,2,2,50,0.995,0.01,0.25,"(32,)",Deterministic,,,,
10,2,2,250,0.965,0.01,0.75,"(32,)",Stochastic,,,,
10,5,2,250,0.995,0.0001,0.25,"(32,)",Stochastic,,,,
15,5,2,50,0.995,0.01,0.25,"(32,)",Stochastic,,,,
15,2,2,250,0.965,0.0001,0.25,"(32,)",Stochastic,,,,
